,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Spent,Living_With,Children,Family_Size,Is_Parent
50,0,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,45,606,1,2,4,1
51,1,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,68,1957,1,0,2,0
52,0,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,57,1093,0,0,1,0
53,0,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,35,29,0,1,2,1
54,1,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,55,518,1,1,3,1
55,1,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,41,1438,0,0,1,0
56,0,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,48,612,1,2,4,1
57,0,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,71,884,0,1,2,1
58,1,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,72,606,0,1,2,1
59,0,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,75,1076,1,0,2,0
60,0,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,52,34,1,1,3,1
61,0,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,56,11,1,2,4,1
62,2,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,44,1274,0,1,2,1
63,0,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,65,653,1,1,3,1
64,0,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,53,1562,1,3,5,1
65,1,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,69,1253,1,0,2,0
66,0,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,64,863,1,1,3,1
67,1,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,48,661,1,2,4,1
68,0,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,71,65,1,0,2,0
69,0,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,46,13,0,1,2,1
70,1,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,51,1890,1,0,2,0
71,0,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,47,2209,0,0,1,0
72,2,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,47,18,1,0,2,0
73,0,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,58,692,1,0,2,0
74,0,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,38,165,0,1,2,1
75,0,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,54,16,1,1,3,1
76,2,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,50,79,1,1,3,1
77,1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,60,318,1,0,2,0
78,0,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,36,778,0,0,1,0
79,0,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,63,56,1,2,4,1
80,1,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,53,151,1,2,4,1
81,0,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,66,372,0,1,2,1
82,0,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,50,1366,1,0,2,0
83,0,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,56,194,1,1,3,1
84,1,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,51,32,0,1,2,1
85,1,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,53,43,1,1,3,1
86,0,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,40,45,1,1,3,1
87,0,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,63,606,0,1,2,1
88,0,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,51,63,0,2,3,1
89,2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,72,978,1,0,2,0
90,1,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,40,410,1,0,2,0
91,2,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,63,72,0,1,2,1
92,1,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,64,55,0,1,2,1
93,0,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,44,1169,1,1,3,1
94,1,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,78,1120,1,0,2,0
95,0,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,64,1097,1,0,2,0
96,2,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,44,29,1,1,3,1
97,0,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,59,187,1,2,4,1
98,0,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,54,910,1,2,4,1
99,0,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,45,145,0,1,2,1
100,1,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,63,850,1,0,2,0
101,0,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,44,969,1,1,3,1
102,1,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,32,1820,0,0,1,0
103,1,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,60,608,1,1,3,1
104,0,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,32,730,0,0,1,0
105,1,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,43,551,1,1,3,1
106,0,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,61,114,0,2,3,1
107,0,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,53,1724,1,0,2,0
108,2,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,45,577,1,1,3,1
109,2,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,56,81,1,2,4,1
110,0,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,54,33,1,1,3,1
111,1,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,70,660,1,1,3,1
112,1,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,56,80,0,1,2,1
113,1,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,38,30,1,2,4,1
114,0,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,47,43,0,1,2,1
115,0,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,40,1135,0,0,1,0
116,2,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,58,559,1,0,2,0
117,0,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,39,1923,0,0,1,0
118,1,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,70,90,1,2,4,1
119,1,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,67,661,1,2,4,1
120,0,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,71,463,1,1,3,1
121,1,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,65,632,0,2,3,1
122,0,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,54,725,1,0,2,0
123,1,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,59,279,1,2,4,1
124,1,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,56,1482,1,0,2,0
125,2,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,47,29,0,1,2,1
126,1,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,64,106,1,3,5,1
127,1,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,50,49,0,2,3,1
128,1,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,58,38,0,2,3,1
129,1,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,31,2077,0,0,1,0
130,1,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,47,1053,1,1,3,1
131,0,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,61,1385,1,0,2,0
132,1,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,49,871,0,1,2,1
133,0,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,35,312,1,1,3,1
134,0,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,47,877,1,2,4,1
135,0,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,48,68,1,1,3,1
136,0,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,42,22,1,1,3,1
137,2,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,50,211,1,3,5,1
138,1,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,57,127,1,0,2,0
139,1,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,70,459,1,2,4,1
140,0,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,54,460,1,1,3,1
141,2,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,51,429,1,1,3,1
142,0,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,35,89,0,1,2,1
143,1,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,71,1021,1,1,3,1
144,0,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,74,1381,1,0,2,0
145,0,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,65,306,0,1,2,1
146,0,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,45,18,0,3,4,1
147,0,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,46,162,1,1,3,1
148,0,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,68,1231,0,0,1,0
149,1,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,65,13,0,3,4,1
150,1,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,78,1706,1,0,2,0
151,0,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,39,121,1,1,3,1
152,1,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,48,1293,0,0,1,0
153,1,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,50,1608,1,1,3,1
154,0,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,57,88,1,3,5,1
155,0,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,70,421,0,0,1,0
156,0,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,64,259,0,0,1,0
157,0,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,35,1117,0,0,1,0
158,0,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,66,89,1,2,4,1
159,0,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,58,36,1,2,4,1
160,0,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,41,57,1,1,3,1
161,0,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,53,148,1,2,4,1
162,1,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,64,93,1,2,4,1
163,0,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,56,119,0,1,2,1
164,1,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,48,1835,1,1,3,1
165,1,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,75,1318,1,0,2,0
166,1,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,53,45,1,2,4,1
167,0,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,64,10,1,3,5,1
168,2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,72,978,1,0,2,0
169,1,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,47,191,1,1,3,1
170,2,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,35,57,1,1,3,1
171,1,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,77,1033,1,0,2,0
172,1,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,39,66,1,1,3,1
173,2,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,62,43,1,0,2,0
174,0,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,40,50,1,1,3,1
175,1,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,53,39,0,1,2,1
176,0,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,57,608,1,1,3,1
177,0,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,47,1581,1,0,2,0
178,1,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,59,68,1,2,4,1
179,2,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,45,80,1,1,3,1
180,1,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,34,1282,1,0,2,0
181,0,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,35,91,1,1,3,1
182,0,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,50,315,1,2,4,1
183,0,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,46,31,1,2,4,1
184,1,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,43,834,1,0,2,0
185,0,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,69,1600,1,0,2,0
186,0,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,69,1270,1,0,2,0
187,1,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,50,263,0,2,3,1
188,0,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,71,535,0,1,2,1
189,0,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,55,1295,0,0,1,0
190,0,63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,45,1150,0,1,2,1
191,1,102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,46,1240,1,0,2,0
192,1,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,58,38,0,2,3,1
193,1,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,39,35,0,0,1,0
194,0,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,35,53,1,1,3,1
195,1,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,60,293,0,2,3,1
196,0,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,57,65,1,1,3,1
197,0,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,69,1804,0,1,2,1
198,0,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,67,241,1,1,3,1
199,0,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,69,1101,1,0,2,0
200,1,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,55,264,1,2,4,1
201,1,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,49,541,1,2,4,1
202,0,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,38,1198,1,0,2,0
203,0,41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,46,482,1,1,3,1
204,2,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,45,17,0,3,4,1
205,1,83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,75,1615,1,0,2,0
206,1,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,69,285,0,1,2,1
207,0,69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,43,1135,1,1,3,1
208,2,45204.0,1,0,93,30,11,25,29,1,18,1,1,1,4,3,35,114,1,1,3,1
209,0,72460.0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,54,1047,1,0,2,0
210,1,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,53,714,1,2,4,1
211,1,30732.0,1,0,44,155,1,25,0,1,3,4,4,1,4,8,43,185,1,1,3,1
212,0,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,61,1245,0,1,2,1
213,0,42011.0,1,0,46,131,0,16,2,1,39,4,3,1,4,8,45,189,1,1,3,1
214,0,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,47,576,1,1,3,1
215,0,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,71,1103,0,1,2,1
216,1,79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,51,1753,1,0,2,0
217,1,34320.0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,37,17,1,1,3,1
218,0,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,57,433,0,2,3,1
219,2,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,61,1588,0,1,2,1
220,0,38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,52,22,1,1,3,1
221,0,15033.0,0,0,37,0,4,5,6,0,4,1,1,0,3,3,72,19,0,0,1,0
222,1,62745.0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,58,1117,1,1,3,1
223,2,22212.0,1,0,49,5,9,20,6,8,21,2,2,0,4,6,48,69,1,1,3,1
224,1,23661.0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,41,23,1,1,3,1
225,1,79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,65,605,0,1,2,1
226,0,7500.0,1,0,54,5,3,10,12,7,20,4,3,1,3,7,50,57,0,1,2,1
227,0,73455.0,0,0,98,901,61,757,186,163,20,1,6,5,10,3,55,2088,0,0,1,0
228,0,64961.0,0,1,97,382,114,276,75,124,38,2,6,4,4,3,65,1009,1,1,3,1
229,0,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,52,26,0,1,2,1
230,0,73687.0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,33,1627,1,0,2,0
231,0,61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,65,1102,1,1,3,1
232,1,31686.0,1,1,31,11,0,5,0,0,1,2,1,0,3,6,59,17,1,2,4,1
233,0,80134.0,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,51,1690,1,1,3,1
234,0,75027.0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,70,1390,1,1,3,1
235,1,67546.0,0,0,90,864,134,768,150,38,172,1,4,10,5,3,35,2126,1,0,2,0
236,1,65176.0,0,1,57,960,28,183,220,70,70,4,9,6,6,6,54,1531,1,1,3,1
237,1,31160.0,1,0,59,16,3,25,6,1,13,2,2,0,3,8,48,64,0,1,2,1
238,0,29938.0,1,0,52,3,3,7,0,2,11,2,1,0,3,6,38,26,0,1,2,1
239,0,102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,49,1112,0,0,1,0
240,2,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,65,210,1,0,2,0
241,0,75702.0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,56,1148,1,2,4,1
242,1,30899.0,1,0,35,24,0,8,0,0,1,2,1,0,3,6,49,33,0,1,2,1
243,1,63342.0,0,1,48,918,21,118,13,10,21,3,8,3,5,6,62,1101,1,1,3,1
244,0,45989.0,0,1,97,138,33,87,28,24,12,4,3,2,7,3,59,322,0,1,2,1
245,0,18701.0,1,1,95,12,4,2,10,6,10,4,2,0,4,5,59,44,0,2,3,1
246,1,40737.0,2,1,24,11,0,4,0,0,2,1,1,0,2,8,66,17,0,3,4,1
247,0,15287.0,1,0,60,1,2,8,4,3,13,2,1,1,2,7,44,31,0,1,2,1
248,1,69674.0,0,2,46,554,41,215,11,0,24,3,10,2,10,5,55,845,0,2,3,1
249,1,44159.0,1,0,85,167,2,62,24,13,7,4,4,1,6,5,53,275,1,1,3,1
250,1,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,45,25,1,1,3,1
251,1,43776.0,1,1,9,177,2,71,3,2,20,6,5,2,4,8,71,275,1,2,4,1
252,1,38179.0,1,1,30,38,4,22,4,2,20,4,3,1,3,7,57,90,1,2,4,1
253,0,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,60,1495,1,0,2,0
254,1,38097.0,1,1,70,77,2,35,0,1,69,4,3,2,2,7,53,184,1,2,4,1
255,0,72940.0,0,0,13,182,74,298,162,149,116,1,3,3,6,1,53,981,1,0,2,0
256,0,22070.0,1,0,11,10,7,19,8,2,21,2,2,2,2,6,53,67,1,1,3,1
257,0,69267.0,0,0,31,778,44,499,95,73,146,2,3,4,5,7,70,1635,0,0,1,0
258,1,31788.0,1,0,15,16,7,23,0,8,6,3,3,0,4,5,40,60,0,1,2,1
259,1,61905.0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,48,231,1,1,3,1
260,0,29315.0,1,1,55,13,2,14,8,7,4,4,2,0,4,6,63,48,1,2,4,1
261,0,33378.0,1,1,38,33,6,40,3,7,10,3,2,0,4,7,60,99,0,2,3,1
262,1,66313.0,0,1,86,625,7,99,10,22,7,2,6,3,12,4,60,770,1,1,3,1
263,0,60714.0,0,0,56,216,162,224,101,92,162,2,7,4,10,5,67,957,0,0,1,0
264,1,77882.0,0,0,29,68,129,396,188,22,15,1,3,3,5,1,42,818,1,0,2,0
265,1,69867.0,0,0,30,196,0,512,33,130,54,1,3,5,8,1,37,925,0,0,1,0
266,1,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,55,908,0,1,2,1
267,2,24480.0,1,0,46,4,19,9,28,25,17,3,3,0,4,7,42,102,1,1,3,1
268,0,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,47,576,1,1,3,1
269,0,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,77,317,1,0,2,0
270,1,65640.0,0,1,74,204,7,149,20,15,66,1,5,1,8,2,49,461,1,1,3,1
271,1,44319.0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,48,37,1,2,4,1
272,0,30631.0,1,0,75,15,6,20,4,5,20,1,3,1,2,7,49,70,1,1,3,1
273,0,75278.0,0,0,17,304,98,230,150,74,74,1,6,3,13,3,71,930,1,0,2,0
274,1,50898.0,1,1,88,285,28,242,55,114,135,13,6,2,12,5,67,859,1,2,4,1
275,0,79946.0,0,0,19,395,183,565,166,141,28,1,5,11,5,3,57,1478,0,0,1,0
276,1,35416.0,0,0,62,248,3,81,4,3,51,3,7,1,5,8,74,390,0,0,1,0
277,2,32414.0,0,0,11,20,6,5,0,9,12,1,1,0,3,7,39,52,1,0,2,0
